miRs
hsa-let-7a-5p-478575_mir
hsa-let-7c-5p-478577_mir
hsa-let-7d-5p-478439_mir
hsa-let-7e-5p-478579_mir
hsa-let-7f-5p-478578_mir
hsa-let-7g-5p-478580_mir
hsa-miR-1-3p-477820_mir
hsa-miR-9-5p-478214_mir
hsa-miR-10a-5p-479241_mir
hsa-miR-10b-5p-478494_mir
ath-miR159a-478411_mir
Control
